tournament_id,year,team,wc_ppg,wc_matches,cont_ppg,cont_n,comp_ppg,pre_elo
WC-1998,1998,England,1.75,4,1.8,5,2.176470588235294,1942.4982557939363
WC-1998,1998,Scotland,0.3333333333333333,3,1.3333333333333333,3,2.076923076923077,1756.7886404774786
WC-1998,1998,Belgium,1.0,3,,0,1.9166666666666667,1791.036414932573
WC-1998,1998,Mexico,1.25,4,3.0,4,1.7878787878787878,1867.476470814468
WC-1998,1998,Colombia,1.0,3,0.75,4,1.5,1738.1820846456137
WC-1998,1998,Italy,2.2,5,1.3333333333333333,3,1.75,1922.5493590223837
WC-1998,1998,United States,0.0,3,2.25,4,1.6666666666666667,1772.1195217338407
WC-1998,1998,Yugoslavia,1.75,4,,0,,1871.1900967924191
WC-1998,1998,Cameroon,0.6666666666666666,3,1.75,4,1.9285714285714286,1683.1595089941586
WC-2002,2002,Tunisia,0.3333333333333333,3,0.6666666666666666,3,1.7647058823529411,1698.2556612197984
WC-2002,2002,Croatia,1.0,3,,0,2.25,1861.139171502488
WC-2002,2002,China,0.0,3,1.3333333333333333,6,1.9259259259259258,1777.4860878351515
WC-2002,2002,Senegal,1.4,5,2.3333333333333335,6,1.8888888888888888,1790.74444105632
WC-2002,2002,Japan,1.75,4,2.6666666666666665,6,2.2,1866.3127353480631
WC-2002,2002,Ecuador,1.0,3,1.5,2,1.619047619047619,1740.4868373397524
WC-2002,2002,Brazil,3.0,7,1.5,4,1.48,1882.2724981843207
WC-2002,2002,Poland,1.0,3,,0,2.1,1719.8024541587847
WC-2002,2002,South Africa,1.3333333333333333,3,1.25,4,1.6666666666666667,1695.4632531701268
WC-2002,2002,Denmark,1.75,4,0.0,3,1.7857142857142858,1869.4197994644685
WC-2002,2002,Argentina,1.3333333333333333,3,1.5,4,2.3125,2002.4988755578163
WC-2002,2002,South Korea,1.2857142857142858,7,0.4,5,1.35,1770.318384745924
WC-2002,2002,Nigeria,0.3333333333333333,3,2.1666666666666665,6,2.1904761904761907,1836.3905126863722
WC-2002,2002,Turkey,1.5714285714285714,7,1.0,4,1.9375,1749.9853059246423
WC-2002,2002,Slovenia,0.0,3,0.6666666666666666,3,1.588235294117647,1730.4665887428312
WC-2002,2002,Spain,2.2,5,1.5,4,2.1666666666666665,1934.898406504364
WC-2002,2002,France,0.3333333333333333,3,2.5,6,2.3846153846153846,2095.096158607818
WC-2002,2002,Republic of Ireland,1.5,4,,0,2.1333333333333333,1865.8260483608458
WC-2002,2002,Portugal,1.0,3,2.4,5,2.4,1956.9153840228573
WC-2002,2002,Germany,2.2857142857142856,7,0.3333333333333333,3,1.6923076923076923,1853.7770826434287
WC-2002,2002,Russia,1.0,3,,0,2.3,1786.0397940700718
WC-2002,2002,Uruguay,0.6666666666666666,3,1.3333333333333333,6,1.4583333333333333,1819.426797966075
WC-2002,2002,Saudi Arabia,0.0,3,1.6666666666666667,6,2.32,1775.7171174144637
WC-2002,2002,Paraguay,1.0,4,0.6666666666666666,3,1.5,1726.4178081897066
WC-2002,2002,England,1.6,5,1.0,3,1.8181818181818181,1907.704765106818
WC-2002,2002,Belgium,1.25,4,1.0,3,2.0,1837.8328614478805
WC-2002,2002,Sweden,1.5,4,0.3333333333333333,3,1.8,1861.5154229679697
WC-2002,2002,Mexico,1.75,4,2.3333333333333335,3,1.6451612903225807,1870.7289018738102
WC-2002,2002,Italy,1.25,4,2.1666666666666665,6,2.357142857142857,1985.3094324888752
WC-2002,2002,United States,1.4,5,2.6,5,2.0,1838.5463211067256
WC-2002,2002,Costa Rica,1.3333333333333333,3,2.0,5,1.967741935483871,1809.4756854426732
WC-2002,2002,Cameroon,1.3333333333333333,3,2.6666666666666665,6,2.235294117647059,1883.7628517149653
